,2018,2019,2020
1,199.8,170.14,65.84
2,241.96,211.47,61.06
3,252.21,206.04,62.69
4,262.69,270.77,77.64
5,337.64,281.53,96.88
6,231.2,303.71,114.88
7,132.97,355.22,94.02
8,137.52,280.23,79.04
9,123.41,225.5,76.32
10,251.98,247.53,112.93
11,125.53,204.19,118.1
12,109.03,217,92.7
13,196.02,175.93,136.77
14,235.01,168.11,144.7
15,258.52,187.59,190.98
16,334.05,186.75,191.17
17,260.67,62.49,89.58
18,256.18,91.55,102.53
19,282.24,155.39,73.86
20,385.04,193.76,113.25
21,480.07,219.06,87.27
22,208.53,255.31,130.99
23,219.94,277.28,127.82
24,274.05,262.58,138.46
25,313.41,274.39,85.83
26,397.1,244.21,117.1
27,336.49,301.82,53.02
28,316.52,285.73,80.36
29,259.12,274.83,114.91
30,214.51,284.13,115.63
