DATE,PM10
01-02-20,201.19
02-02-20,200.9
03-02-20,243.43
04-02-20,340.56
05-02-20,255.41
06-02-20,205.43
07-02-20,253.82
08-02-20,238.17
09-02-20,247.62
10-02-20,292.44
11-02-20,306.12
12-02-20,295.05
13-02-20,179.78
14-02-20,172.28
15-02-20,174.78
16-02-20,237.81
17-02-20,282.84
18-02-20,238.91
19-02-20,286.39
20-02-20,223.69
21-02-20,85.49
22-02-20,123.44
23-02-20,182.2
24-02-20,145.05
25-02-20,224.02
26-02-20,258.62
27-02-20,203.77
28-02-20,161.36
29-02-20,115.82
01-03-20,91.88
02-03-20,203.51
03-03-20,188.73
04-03-20,193.79
05-03-20,67.5
06-03-20,38.5
07-03-20,85.45
08-03-20,140.22
09-03-20,133.75
10-03-20,160.91
11-03-20,112.57
12-03-20,155.18
13-03-20,209.02
14-03-20,85.26
15-03-20,124.24
16-03-20,144.37
17-03-20,160.15
18-03-20,162.56
19-03-20,195.15
20-03-20,200.79
21-03-20,184.81
22-03-20,134.46
23-03-20,100.55
24-03-20,103.62
25-03-20,68.03
26-03-20,75.81
27-03-20,45.48
28-03-20,34.15
29-03-20,55.75
30-03-20,64.66
31-03-20,67.01
01-04-20,65.84
02-04-20,61.06
03-04-20,62.69
04-04-20,77.64
05-04-20,96.88
06-04-20,114.88
07-04-20,94.02
08-04-20,79.04
09-04-20,76.32
10-04-20,112.93
11-04-20,118.1
12-04-20,92.7
13-04-20,136.77
14-04-20,144.7
15-04-20,190.98
16-04-20,191.17
17-04-20,89.58
18-04-20,102.53
19-04-20,73.86
20-04-20,113.25
21-04-20,87.27
22-04-20,130.99
23-04-20,127.82
24-04-20,138.46
25-04-20,85.83
26-04-20,117.1
27-04-20,53.02
28-04-20,80.36
29-04-20,114.91
30-04-20,115.63
01-05-20,143.11
02-05-20,107.36
03-05-20,83.02
04-05-20,60.59
05-05-20,115.91
06-05-20,169.61
07-05-20,88.35
08-05-20,120.82
09-05-20,126.9
10-05-20,110.39
11-05-20,93.49
12-05-20,94.4
13-05-20,159.2
14-05-20,126.53
15-05-20,101.93
16-05-20,151.8
17-05-20,187.24
18-05-20,192.68
19-05-20,208.65
20-05-20,155.41
21-05-20,163.77
22-05-20,213.47
23-05-20,209.49
24-05-20,179.3
25-05-20,162.41
26-05-20,190.11
27-05-20,161.76
28-05-20,229.55
29-05-20,66.66
30-05-20,53.19
31-05-20,40.43
