DATE,PM2.5,WHO SAFE LIMIT
01-11-19,388.45,10
02-11-19,320.26,10
03-11-19,582.28,10
04-11-19,272.3,10
05-11-19,190.41,10
06-11-19,101.09,10
07-11-19,182.47,10
08-11-19,154.14,10
09-11-19,140.8,10
10-11-19,192.35,10
11-11-19,252.48,10
12-11-19,384.34,10
13-11-19,383.36,10
14-11-19,371.42,10
15-11-19,423.52,10
16-11-19,174.03,10
17-11-19,96.34,10
18-11-19,108.4,10
19-11-19,126.92,10
20-11-19,175.19,10
21-11-19,217.7,10
22-11-19,201.17,10
23-11-19,130.41,10
24-11-19,107.86,10
25-11-19,122.37,10
26-11-19,114.27,10
27-11-19,65.7,10
28-11-19,31.03,10
29-11-19,53.79,10
30-11-19,96.96,10
